,yearNm,hsnNm,prizenm,cnt
538,2021,雲林縣,雲端發票兩千元獎,104
539,2021,彰化縣,千萬特獎,2
540,2022,屏東縣,四獎,173
541,2022,桃園市,雲端發票八百元獎,78
542,2022,臺中市,五獎,179
543,2021,新北市,千萬特獎,13
544,2021,臺南市,特獎,8
545,2023,屏東縣,特獎,1
546,2019,高雄市,四獎,204
547,2019,雲林縣,六獎,120
548,2019,花蓮縣,二獎,13
549,2020,宜蘭縣,四獎,76
550,2020,基隆市,五獎,42
551,2021,南投縣,五獎,78
552,2021,高雄市,五獎,219
553,2021,嘉義市,五獎,12
554,2022,嘉義市,二獎,9
555,2019,桃園市,雲端發票兩千元獎,74
556,2019,金門縣,雲端發票五百元獎,10
557,2019,基隆市,千萬特獎,2
558,2020,嘉義市,雲端發票五百元獎,12
559,2022,南投縣,千萬特獎,1
560,2023,臺北市,五獎,26
561,2019,新竹縣,四獎,77
562,2022,澎湖縣,特獎,1
563,2022,澎湖縣,雲端發票五百元獎,36
564,2023,臺中市,頭獎,8
565,2020,新北市,雲端發票兩千元獎,159
566,2019,臺北市,雲端發票五百元獎,26
567,2021,澎湖縣,二獎,3
568,2021,澎湖縣,雲端發票八百元獎,17
569,2022,新北市,雲端發票八百元獎,173
570,2022,臺中市,雲端發票兩千元獎,172
571,2022,澎湖縣,四獎,31
572,2023,臺中市,雲端發票八百元獎,58
573,2019,臺北市,二獎,70
574,2019,臺南市,雲端發票五百元獎,73
575,2021,連江縣,雲端發票五百元獎,24
576,2023,臺北市,雲端發票兩千元獎,26
577,2023,新竹縣,二獎,9
578,2023,嘉義市,特獎,1
579,2021,新竹市,千萬特獎,2
580,2022,嘉義市,四獎,12
581,2022,彰化縣,雲端發票百萬元獎,4
582,2020,新竹縣,千萬特獎,3
583,2021,臺中市,雲端發票百萬元獎,15
584,2023,雲林縣,雲端發票八百元獎,40
585,2019,臺東縣,雲端發票百萬元獎,1
586,2020,臺南市,雲端發票五百元獎,222
587,2020,苗栗縣,特獎,2
588,2022,臺中市,二獎,107
589,2023,嘉義市,二獎,4
590,2019,嘉義縣,雲端發票五百元獎,36
591,2020,臺東縣,雲端發票百萬元獎,1
592,2021,基隆市,四獎,42
593,2022,連江縣,六獎,24
594,2023,新竹縣,雲端發票兩千元獎,21
595,2019,苗栗縣,五獎,108
596,2019,嘉義市,特獎,1
597,2019,彰化縣,特獎,2
598,2021,澎湖縣,五獎,36
599,2022,基隆市,千萬特獎,1
600,2022,嘉義市,六獎,12
601,2019,苗栗縣,雲端發票兩千元獎,90
602,2019,新竹市,六獎,30
603,2020,彰化縣,雲端發票兩千元獎,139
604,2021,屏東縣,頭獎,1
605,2022,彰化縣,三獎,129
606,2019,嘉義縣,雲端發票兩千元獎,85
607,2019,臺中市,頭獎,25
608,2022,南投縣,三獎,53
609,2022,嘉義縣,二獎,18
610,2023,新竹縣,五獎,26
611,2023,嘉義市,雲端發票五百元獎,4
612,2019,苗栗縣,四獎,103
613,2020,臺南市,頭獎,16
614,2021,桃園市,雲端發票五百元獎,78
615,2022,花蓮縣,雲端發票五百元獎,78
616,2022,金門縣,二獎,3
617,2020,屏東縣,頭獎,4
618,2021,臺中市,六獎,180
619,2021,臺南市,雲端發票兩千元獎,200
620,2022,苗栗縣,頭獎,6
621,2023,嘉義市,雲端發票兩千元獎,4
622,2019,苗栗縣,雲端發票五百元獎,36
623,2019,基隆市,四獎,42
624,2020,嘉義縣,頭獎,8
625,2020,臺中市,雲端發票百萬元獎,9
626,2021,花蓮縣,二獎,13
627,2021,基隆市,五獎,42
628,2021,臺南市,二獎,81
629,2022,新北市,雲端發票百萬元獎,23
630,2022,新竹縣,六獎,83
631,2023,新北市,千萬特獎,4
632,2019,臺中市,千萬特獎,8
633,2020,彰化縣,四獎,156
634,2022,彰化縣,四獎,156
635,2019,雲林縣,二獎,26
636,2020,宜蘭縣,六獎,78
637,2021,彰化縣,雲端發票五百元獎,156
638,2019,嘉義縣,二獎,18
639,2023,臺北市,六獎,26
640,2019,嘉義縣,四獎,105
641,2021,新竹市,特獎,1
642,2021,彰化縣,頭獎,13
643,2021,臺北市,四獎,78
644,2022,南投縣,四獎,78
645,2022,桃園市,四獎,78
646,2022,高雄市,四獎,216
647,2023,高雄市,特獎,4
